Title,Author,Days,Start,End
Machine Learning: New and Collected Stories,Hugh Howey,,Dec 3 2017,
Home (Binti #2),Nnedi Okorafor,,Nov 26 2017,
Binti (Binti #1),Nnedi Okorafor,,Nov 23 2017,
All These Worlds (Bobiverse #3),Dennis Taylor,,Nov 9 2017,
For We Are Many (Bobiverse #2),Dennis Taylor,,Oct 27 2017,
We are Legion (Bobiverse #1),Dennis Taylor,,Oct 11 2017,
A Closed and Common Orbit,Becky Chambers,,Sep 24 2017,
"The Long Way to a Small, Angry Planet",Becky Chambers,,Sep 4 2017,
Lieutenant (Ell Donsaii #3),Laurence Dahners,,Aug 24 2017,
All Systems Red (The Murderbot Diaries #1),Martha Wells,,Aug 17 2017,
Smarter (Ell Donsaii #2),Laurence Dahners,,Aug 8 2017,
Quicker (Ell Donsaii #1),Laurence Dahners,,Jul 25 2017,
Three Man in a Boat,Jerome Klapka,,Jul 10 2017,
Beacon 23 (#1-#5),Hugh Howey,,Jun 27 2017,
The Dark Beyond the Stars,Frank M. Robinson,,May 30 2017,
Self-Care for Activists,Marcus Erik,,May 28 2017,
Dust,Hugh Howey,,May 06 2017,
Third Shift,Hugh Howey,,Apr 26 2017,
Second Shift,Hugh Howey,,Apr 13 2017,
First Shift,Hugh Howey,,Mar 27 2017,
Domino,Homobruno,,Mar 9 2017,
Wool,Hugh Howey,,Jan 28 2017,Mar 8 2017
Aurora,Kim Stanley Robinson,,Dec 28 2016,Jan 28 2017
Hull Zero Three,Greg Bear,,Dec 11 2016,Dec 28 2016
The Algebraist,Iain M. Banks,,Oct 17 2016,Dec 11 2016
Second chance at Eden,Peter F. Hamilton,37,Sep 11 2016,Oct 17 2016
Excession,Iain M. Banks,44,Jul 30 2016,Sep 11 2016
Judas Unchained,Peter F. Hamilton,94,Apr 26 2016,Jul 29 2016
Pandora's Star,Peter F. Hamilton,80,Feb 6 2016,Apr 26 2016
Misspent Youth,Peter F. Hamilton,26,Jan 11 2016,Feb 6 2016
Nemesis Games,James S. A. Corey,35,Dec 7 2015,Jan 11 2016
Cibola Burn, James S. A. Corey,31,Nov 6 2015,Dec 7 2015
Gods of Risk,James S. A. Corey,2,Nov 4 2015,Nov 6 2015
Abbaddon's Gate,James S. A. Corey,38,Sep 27 2015,Nov 4 2015
Caliban's War,James S. A. Corey,44,Aug 14 2015,Sep 27 2015
Leviathan Wakes,James S. A. Corey,50,Jun 25 2015,Aug 14 2015
An Astronaut's Guide,Chris Hadfiels,32,May 24 2015,Jun 25 2015
Player One,Ernest Cline,14,May 10 2015,May 24 2015
Il Dio Nudo,Peter F. Hamilton,44,Mar 27 2015,May 10 2015
L'alchimista delle Stelle,Peter F. Hamilton,61,Jan 25 2015,Mar 27 2015
La Crisi della Realtà,Peter F. Hamilton,17,Jan 8 2015,Jan 25 2015
Il Risveglio di Endymion,Dan Simmons,,Oct 1 2014,
Endymion,Dan Simmons,,Jul 1 2014,
La Caduta di Hyperion,Dan Simmons,,Apr 1 2014,
Hyperion,Dan Simmons,,Jan 1 2014,
L'Evoluzione del Vuoto,Peter F. Hamilton,,Nov 1 2013,
Il Tempo del Vuoto,Peter F. Hamilton,,Sep 15 2013,
Il Sogno del Vuoto,Peter F. Hamilton,,Jul 1 2013,
Radio libera Albemuth,Philip K. Dick,,Mar 15 2013,
Ubik,Philip K. Dick,,Jan 1 2013,
La Trasmigrazione di Timothy Archer,Philip K. Dick,,Nov 1 2012,
Divina Invasione,Philip K. Dick,,Jun 1 2012,
Valis,Philip K. Dick,,Jan 1 2012,
